fold,test_mae,test_r2,best_tune_max_feat,best_tune_mae
1,3.2098666666666498,-0.13747082903230856,0.5,0.646216724103513
2,2.881219230769229,0.6768402299983478,0.5,0.6079678587040215
3,2.8474750000000015,0.2164067048295557,0.5,0.6258299221657329
4,1.726283333333339,0.7761433170098065,0.5,0.6465295696144201
5,2.3566136363636314,0.7018088172304723,0.5,0.6029944989892763
6,2.5885812499999967,0.5336210946409286,0.5,0.667208010282857
7,1.9377899999999968,0.34557479705015304,0.25,0.6669781581648775
8,2.3727222222222113,0.03966190045054552,0.75,0.6538721196631397
9,2.003449999999976,0.7186377478270689,0.25,0.6559455857274322
10,2.9058846153846125,0.5505062509855594,0.5,0.6638701592413024
11,2.411252631578962,0.35915369049492296,1.0,0.6366684650068318
12,1.7369769230769274,0.6664792655311746,0.75,0.6614003398452388
13,1.265799999999995,0.8120233834149796,0.5,0.6348909043743092
14,2.442429166666676,0.45753549974280294,0.75,0.6510008616842357
15,2.214384999999997,0.5761515585452903,0.5,0.6529970145733008
16,4.318685714285705,-0.0907369725912579,0.25,0.6644039239793521
17,2.602436363636373,0.638800304173152,0.25,0.6534361741308501
18,2.3363184210526327,0.6119029504948112,0.5,0.6690577836566624
19,2.036389473684216,0.7577207249922574,0.5,0.6594840304037022
20,1.686100000000002,0.5014782038359396,0.25,0.6414096339263577
