cluster,train_n,test_n,test_mtry,best_tune_rmse,train_rmse,test_rmse,train_Rsquared,test_Rsquared
0,206,84,98,3.1354929214349596,1.051104134564715,3.2807349803163657,0.9597783301419864,0.6485819650820512
1,254,41,39,3.0031276374546456,1.0995666040813628,3.0563843988704353,0.95660185193457,0.6278773202820074
2,262,27,39,3.039152852210061,1.139762488248456,2.8336562661064653,0.9527993680560561,0.7257239134690339
3,262,32,39,3.039152852210061,1.1543043862129834,2.2453997682066635,0.9494319248672978,0.6431946897375166
4,276,18,39,3.032297025738001,1.12626517667395,2.6283661629740105,0.955181882732897,0.2748047470569944
5,273,24,98,3.0147972380783576,1.0720273567015377,3.7647324035049277,0.9600154678539642,0.47709304233775407
6,279,20,98,2.998130062751335,1.0794202537609636,2.646283460156898,0.9592035190997241,0.6734667123784877
7,292,12,78,2.8872845034224133,1.1168702608733405,2.9146981218758716,0.9550076728830568,0.4546654733632126
8,269,22,98,3.002689245811344,1.1350053772369875,2.911197293211159,0.9554108169648812,0.5159209726779959
9,257,27,98,2.9691397340931873,1.1239575160733333,3.0546972081867234,0.9579421429947864,0.5540704683922562
