"model","valid_mean_rmse","valid_se","test_mean_rmse","test_se","mean_valid_test_diff","valid_test_diff_se","t_value","p_value","holm_p_value"
"random_lag20_predictors",0.217,0.007,0.319,0.02,0.099,0.009,10.563,0,0
"random_lag20_response",0.231,0.003,0.267,0.011,0.035,0.005,6.473,0,0
"random_lag5_predictors",0.232,0.012,0.293,0.029,0.057,0.014,4.018,0.004,0.048
"random_lag5_response",0.221,0.007,0.237,0.015,0.014,0.007,1.894,0.095,0.581
"random_no_lag",0.322,0.013,0.355,0.046,0.026,0.021,1.217,0.258,0.774
"spatial_buff_lag20_predictors",0.333,0.02,0.319,0.014,-0.021,0.011,-1.98,0.083,0.581
"spatial_buff_lag20_response",0.261,0.007,0.267,0.012,0.003,0.006,0.548,0.599,0.94
"spatial_buff_lag5_predictors",0.324,0.021,0.293,0.029,-0.037,0.016,-2.323,0.049,0.539
"spatial_buff_lag5_response",0.255,0.011,0.237,0.015,-0.02,0.009,-2.289,0.051,0.539
"spatial_lag20_predictors",0.33,0.019,0.317,0.013,-0.02,0.011,-1.929,0.09,0.581
"spatial_lag20_response",0.261,0.006,0.267,0.012,0.005,0.006,0.759,0.47,0.94
"spatial_lag5_predictors",0.322,0.021,0.292,0.029,-0.036,0.016,-2.284,0.052,0.539
"spatial_lag5_response",0.254,0.011,0.237,0.015,-0.018,0.008,-2.205,0.059,0.539
"spatial_no_lag",0.392,0.021,0.355,0.043,-0.041,0.021,-1.917,0.092,0.581
