fold,test_mae,test_r2,best_tune_alpha,best_tune_mae
1,2.0635146614627495,0.7828885112860146,49.770235643321136,0.670035211073613
2,2.400062512734686,0.7221419963187946,35.11191734215127,0.6917549039954356
3,1.90854551535134,0.8086306265320187,44.30621457583877,0.6657999958686415
4,2.89767796353686,0.6986261746444546,55.90810182512222,0.67143054685076
5,1.9350374178112686,0.6560613945280291,44.30621457583877,0.6814581369154423
6,2.5531452940565855,0.6854341223268365,44.30621457583877,0.6802109088643955
7,1.9202868840567089,0.6623976354846017,39.442060594376564,0.6852637109784079
8,1.9911033820603172,0.6465022196133248,39.442060594376564,0.6759379879108742
9,2.2496870101456508,0.4015806366342678,39.442060594376564,0.6989633056371585
10,2.6438845628753858,0.6772318195048241,39.442060594376564,0.6811758091254833
